year,Emissions,Emissions_1,Emissions_99,Emissions_10,Emissions_25,Emissions_50,Emissions_75,Emissions_90,RCP2.6 (GtC),RCP4.5(GtC),RCP6.0(GtC),RCP8.5(GtC)
2015,36.286716,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,37.19420952,36.67470066,34.33729572,42.898028939999996
2020,39.205788,36.10908508300781,42.32861328125,36.10908508300781,36.10908508300781,39.21884765625,42.32861328125,42.32861328125,35.91785496,38.14018416,34.36112472,47.166829320000005
2025,41.182655,34.793365478515625,47.5515625,34.793505859375,38.06022644042969,41.17186279296875,44.283575439453124,47.55134582519531,31.67500986,39.89491506,34.50978102,51.03464262
2030,42.215523,32.52355041503906,51.83103637695312,35.71304016113281,38.902896118164065,42.174679565429685,45.44661254882813,48.63803405761719,26.98696572,41.216911319999994,35.62721448,55.465113599999995
2035,42.35704,29.51923440551758,55.13818359375,35.832421875,39.03623962402344,42.32099914550781,45.6094482421875,48.81729736328125,21.63112302,41.88980562,38.19781368,60.73957109999999
2040,41.834423,29.082672119140625,54.42944354248046,35.275587768554686,38.444129180908206,41.747293090820314,45.06959838867188,48.24478118896484,17.21729568,42.105256440000005,41.015794559999996,66.3597324
2045,40.71494,28.140383697509765,53.06760772705078,34.14018646240235,37.337548828125,40.60798645019531,43.89991149902344,49.59306549072265,14.21649138,41.63454204,44.204847959999995,72.4984494
2050,39.10949,24.163000396728513,53.909921081542976,30.183782958984374,35.73041458129883,39.0169189453125,42.48696670532227,47.87271697998047,11.42442912,40.10963268,47.5744152,78.61333739999999
2055,37.20427,22.60863414001465,51.74181750488282,28.51273590087891,31.87248077392578,37.13690338134766,42.50399551391602,45.75305847167969,8.945479919999999,37.00343088,51.2147532,84.6924819
2060,35.139996,18.97217596435547,51.43860974121094,26.6026806640625,30.008300018310546,35.062835693359375,40.16908645629883,43.55755126953125,6.4459278,33.40693824,54.79988124,90.00953832
2065,32.995415,17.190404205322267,48.81987048339845,24.52830551147461,27.955966186523437,32.88106689453125,37.87240829467773,41.49623626708984,3.9154712999999997,29.07500934,58.30219434,94.18346262
2070,30.753433,15.304636001586914,46.44117642211914,22.234637451171874,25.990666961669923,30.63615264892578,35.5036979675293,39.47194000244141,2.0035423199999998,24.252716279999998,61.1719758,97.67096508
2075,28.50323,13.226863418579104,44.08001489257813,19.809577026367187,23.781879425048828,28.442437744140626,33.22253646850586,37.32344757080078,1.01940462,18.69487698,63.0929598,100.12883478
2080,26.344105,11.03955044555664,41.961124420166016,17.59666213989258,21.669487380981444,26.274069213867186,30.961306762695312,35.169292602539066,0.14663999999999963,15.381949439999998,62.068606079999995,102.20155451999999
2085,24.252167,9.216711029052735,39.90181799316407,15.504084167480467,19.687932205200195,24.200386810302735,28.813978576660155,32.87422637939453,-0.5590649999999999,15.436389539999999,56.62624578,103.69654932
2090,22.350035,7.327336212158204,37.7053731994629,13.743744354248047,17.758547592163087,22.292820739746094,26.918476104736328,30.924246520996093,-1.0935678,15.490829639999998,52.90558572,104.80346136
2095,20.506935,5.622572036743165,35.72921829223633,11.994747009277344,15.921845245361329,20.49034881591797,24.960362243652344,29.083440246582036,-1.3712673,15.545269739999998,51.76747602,105.32824926
2100,18.771006,3.80238034439087,33.94132107543946,10.244469451904298,14.382368469238282,18.74626235961914,23.209823989868163,27.08984405517578,-1.687841064,14.74215912,49.52787996,105.62053943999999
2105,17.173628,2.306893413543701,32.29333145141602,8.862323760986328,12.739642715454101,17.160221099853516,21.65589256286621,25.544336395263674,-2.062726224,12.65272242,45.63605436,105.56408304
2110,15.649702,0.5419008054733276,30.637500579833983,7.367710266113282,11.245296096801757,15.687622833251954,20.06600341796875,23.795258941650395,-2.4376113839999998,10.80098916,41.74422876,105.50762664
2115,14.290094,1.0269260428685811e-07,28.948726501464847,5.970696983337403,9.899773406982423,14.270651245117188,18.644067764282227,22.41230667114258,-2.812496544,9.30581106,37.85240316,105.45117024
2120,13.043358,1.0250697084757121e-07,27.229041290283213,4.740540313720703,8.700266456604004,12.988412475585937,17.43976402282715,21.121766510009767,-3.187381704,8.16696816,33.96057756,105.39471384
2125,11.85063,1.0226997255813331e-07,25.643331481933597,3.6518050384521485,7.501909828186035,11.82026481628418,16.103669357299804,20.021177215576174,-3.4123127999999996,7.56262806,30.121944153599998,105.36084
2130,10.857515,1.0204739714936296e-07,24.85647219848633,2.6670401763916014,6.4745786666870115,10.837752151489259,15.165543746948241,18.89243179321289,-3.4123127999999996,7.01327796,26.363098671,105.36084
2135,9.9122,1.0182792516388872e-07,23.667812332153325,1.3376269435882573,5.536655712127685,9.823611450195312,14.062747573852539,17.793095092773438,-3.4123127999999996,6.546412859999999,22.604253188399998,105.36084
2140,9.070755,1.0158695590689604e-07,23.005049575805664,1.0267636525895796e-07,4.542613220214844,8.955144119262695,13.261949157714843,16.991673431396485,-3.4123127999999996,6.07447035,18.8454077058,105.36084
2145,8.293394,1.0136340245026077e-07,21.9368056640625,1.0230794941890053e-07,3.61952543258667,8.130211639404298,12.488715934753419,16.10150802612305,-3.4123127999999996,5.594911725,15.086562223199998,105.36084
2150,7.61336,1.0109747631759093e-07,21.18629246520997,1.0206251431554846e-07,2.8168506145477297,7.424359130859375,11.70654525756836,15.435298767089844,-3.4123127999999996,5.6995302,12.3606522,103.38270306
2155,6.9155135,1.0087743783060431e-07,20.68024119567871,1.0187124871663401e-07,1.5321209907531739,6.605354690551758,10.843988800048828,14.635061798095702,-3.4123127999999996,5.5829514,11.382123479999999,98.43736437599999
