year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371
2020,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155
2025,1.6145572662353516,1.6289777755737305,1.6145572662353516,1.6145572662353516,1.621767520904541,1.6289777755737305,1.6289777755737305
2030,1.695229172706604,1.739230990409851,1.6952295303344727,1.7096574306488037,1.717228889465332,1.7248008251190186,1.7392305135726929
2035,1.7706388235092163,1.8594064712524414,1.7850712537765503,1.7996809482574463,1.8150149583816528,1.8303508758544922,1.844967007637024
2040,1.8390827178955078,1.9872486591339111,1.8683279752731323,1.890041708946228,1.9131423234939575,1.936252474784851,1.9579776525497437
2045,1.913700932264328,2.106271512508392,1.9503276348114014,1.9791584610939026,2.0099371671676636,2.0408718585968018,2.0696388483047485
2050,1.9792336773872377,2.2290630531311035,2.0293249607086183,2.0654661655426025,2.104314923286438,2.1466927528381348,2.179001569747925
2055,2.042192671298981,2.3536206340789794,2.105002236366272,2.1454997062683105,2.1957876682281494,2.2448208928108215,2.2872336149215697
2060,2.095769159793854,2.466337654590607,2.1727582931518556,2.223812520503998,2.2827032804489136,2.3394104838371277,2.3898046731948854
2065,2.1459953927993776,2.5790679979324342,2.2382495641708373,2.2960970997810364,2.3645180463790894,2.4297441840171814,2.4881108522415163
2070,2.1962212204933165,2.6844682598114016,2.2984501361846923,2.3634069561958313,2.440464735031128,2.5142182111740112,2.581660556793213
2075,2.2361994433403014,2.789117755889893,2.3554390907287597,2.426173746585846,2.5119946002960205,2.595173716545105,2.6675183296203615
2080,2.2731605911254884,2.8840590405464175,2.4056251525878904,2.483666479587555,2.577197551727295,2.6688758730888367,2.7500369787216186
2085,2.3046719312667845,2.974687149524689,2.451293706893921,2.5365646481513977,2.638898015022278,2.737284779548645,2.8259729623794554
2090,2.3335812425613405,3.0562085056304933,2.491622543334961,2.5851974487304688,2.694156527519226,2.8021151423454285,2.8977304458618165
2095,2.358803224563599,3.1351180601119997,2.5279622077941895,2.6285061836242676,2.746111273765564,2.860898196697235,2.963361072540283
2100,2.3837347650527954,3.2042182898521423,2.561304545402527,2.6695348620414734,2.7934377193450928,2.915851593017578,3.0260568857192993
2105,2.403546850681305,3.27551016330719,2.5900884866714478,2.7056698203086853,2.8374911546707153,2.9669113755226135,3.0820975780487063
2110,2.4196330428123476,3.3391573572158815,2.616997504234314,2.7390697598457336,2.8765501976013184,3.013649106025696,3.1349852085113525
2115,2.4317504715919496,3.399409844875336,2.640834665298462,2.7691328525543213,2.9130301475524902,3.056877374649048,3.1841689586639403
2120,2.442770471572876,3.4538588809967044,2.661414957046509,2.7963123321533203,2.944384813308716,3.0970394015312195,3.229782009124756
2125,2.452050218582153,3.5044764733314517,2.6793239593505858,2.820346772670746,2.9754127264022827,3.1345165371894836,3.2707065820693972
2130,2.4595471382141114,3.552213609218598,2.693942832946777,2.8416510820388794,3.0023412704467773,3.167059302330017,3.3098916530609133
2135,2.4693914103507995,3.597676281929016,2.7077131032943726,2.8618293404579163,3.028773307800293,3.1983375549316406,3.3456645965576173
2140,2.476622152328491,3.640215218067169,2.7192668437957765,2.8792834281921387,3.05126690864563,3.227283537387848,3.3793129682540894
2145,2.4810666465759277,3.6757131576538087,2.729363536834717,2.895902693271637,3.0708162784576416,3.2535977363586426,3.410713768005371
2150,2.481731321811676,3.7101365923881535,2.7398612260818482,2.908776640892029,3.0895445346832275,3.2793843746185303,3.4419068574905394
2155,2.4873435425758363,3.7480246591567994,2.7477524042129517,2.9185887575149536,3.106057286262512,3.301582992076874,3.469954013824463
