,ee_1,ee_2,ee_3,ee_4,ee_5,ee_6,ee_7,ee_8,ee_9,ee_10,ee_11,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,bc_7,bc_8,bc_9,bc_10,bc_11,bc_12,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11
count,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
mean,0.00033339360379613936,0.0009617089526727796,0.0005061894771642983,0.00037410916411317885,0.0004033985605929047,0.00023817001783754677,0.0012774617644026875,0.0014971861382946372,0.000347933208104223,0.00040005636401474476,0.0007931265863589942,9.543230650166379e-10,9.516671894971296e-10,8.973646270504787e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90650073506049e-09,0.0,0.0002539916895329952,0.0002362087689107284,0.00028510772972367704,0.00021818875393364578,0.0002487308520358056,0.0001976636121980846,0.0003862319281324744,0.0005895619979128242,0.00022589873697143048,0.00037647291901521385,0.0006801618728786707
std,0.00027043616864830256,0.0002523430739529431,0.0002963278675451875,0.00026063676341436803,0.0002550764475017786,0.0001961517264135182,0.00024058604321908206,0.0003363399300724268,0.0002629511000122875,0.00031433330150321126,0.00044548974256031215,5.715002360240362e-10,6.665463181398934e-10,9.307049020357283e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8621255648554325e-09,0.0,0.000261652166955173,0.0002677712473087013,0.0002832601312547922,0.00025019192253239453,0.00023588073963765055,0.00020344828953966498,0.00021263968665152788,0.0002478942333254963,0.0001866046222858131,0.0002853833429981023,0.0004147329309489578
min,0.0,7.152557373046875e-07,0.0,0.0,0.0,0.0,6.556510925292969e-07,9.417533874511719e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,0.0,0.0,0.0
25%,0.00012958049774169922,0.0008132457733154297,0.0002929568290710449,0.0001856088638305664,0.00022685527801513672,9.632110595703125e-05,0.0011471211910247803,0.0013222098350524902,0.00014126300811767578,0.00014889240264892578,0.00045453011989593506,4.656612873077393e-10,9.313225746154785e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010418891906738281,8.487701416015625e-05,0.00010126829147338867,7.271766662597656e-05,8.678436279296875e-05,7.927417755126953e-05,0.00026607513427734375,0.0004354715347290039,9.059906005859375e-05,0.00014972686767578125,0.00036340951919555664
50%,0.00028020143508911133,0.0009642839431762695,0.00046569108963012695,0.0003304481506347656,0.0003617405891418457,0.0001958608627319336,0.0013165473937988281,0.001505732536315918,0.00030419230461120605,0.00033533573150634766,0.0007734298706054688,9.313225746154785e-10,9.313225746154785e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.00020396709442138672,0.00017535686492919922,0.0002047419548034668,0.0001639723777770996,0.00018733739852905273,0.000160902738571167,0.0003685951232910156,0.000583946704864502,0.00018978118896484375,0.0003268122673034668,0.0006250143051147461
75%,0.00048542022705078125,0.0011134147644042969,0.0006626248359680176,0.0005254745483398438,0.0005432367324829102,0.00032067298889160156,0.0014388561248779297,0.001682877540588379,0.00047856569290161133,0.0005757808685302734,0.0010875463485717773,1.3969838619232178e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0003167390823364258,0.00030624866485595703,0.0003940463066101074,0.00028210878372192383,0.00034755468368530273,0.0002529621124267578,0.00046837329864501953,0.0007323622703552246,0.00030815601348876953,0.0005325675010681152,0.0009430646896362305
99%,0.0010952973365783714,0.0015103816986083984,0.0014359360933303839,0.0011550199985504161,0.0011996632814407354,0.0008109807968139648,0.0017123234272003185,0.0023750668764114385,0.0011568081378936779,0.0014012461900711065,0.0019646883010864258,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0013068336248397844,0.001334429979324342,0.0012569433450698858,0.0012236833572387695,0.0011128199100494396,0.0010461819171905529,0.001122593879699707,0.0013223296403884893,0.0008728510141372686,0.0012380492687225353,0.001842857599258424
99.9%,0.0021871950626374537,0.0019084217548370475,0.0024395014643670346,0.0017280580997467154,0.0018062592744827327,0.0013044493198395568,0.0018849374055862483,0.002861500084400191,0.001647949516773238,0.001871407091617587,0.002503634214401279,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.002547264337539684,0.002737642288208053,0.0023429394364357023,0.0025413125753406957,0.002045035541057595,0.0021139432191851076,0.002211214065551803,0.0019393565654754752,0.0015118149518967977,0.0020397316217422995,0.0025353435277939013
max,0.0074329376220703125,0.003591597080230713,0.005632281303405762,0.003169536590576172,0.004088997840881348,0.003212571144104004,0.0026623010635375977,0.0042847394943237305,0.0025289058685302734,0.003465592861175537,0.0037186145782470703,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.010603189468383789,0.012077689170837402,0.010395646095275879,0.010236024856567383,0.00847315788269043,0.007506251335144043,0.005628824234008789,0.0030821561813354492,0.0034313201904296875,0.005078911781311035,0.006796121597290039
