year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546
2020,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122
2025,0.9497395157814026,0.9582222104072571,0.9497395157814026,0.9497395157814026,0.9539808630943298,0.9582222104072571,0.9582222104072571
2030,0.9971936345100403,1.0230770111083984,0.9971938133239746,1.005680799484253,1.0101345777511597,1.014588713645935,1.0230767726898193
2035,1.041552186012268,1.0937684774398804,1.050041913986206,1.0586358308792114,1.0676558017730713,1.0766769647598267,1.0852746963500977
2040,1.0818133354187012,1.168969750404358,1.0990164279937744,1.1117892265319824,1.1253777742385864,1.1389720439910889,1.1517515182495117
2045,1.1257064306735993,1.2389831590652465,1.1472514867782593,1.1642108261585236,1.1823159456253052,1.2005127668380737,1.2174345970153808
2050,1.1642551040649414,1.3112135052680969,1.193720555305481,1.2149800062179565,1.2378323078155518,1.2627604603767395,1.2817655324935913
2055,1.201289757490158,1.3844827044010162,1.2382365584373474,1.2620585560798645,1.291639804840088,1.3204828202724457,1.3454314470291138
2060,1.232805346250534,1.4507868003845215,1.2780930876731873,1.3081249594688416,1.3427665829658508,1.3761238157749176,1.4057674407958984
2065,1.2623502373695374,1.5170988142490387,1.3166173934936523,1.350645273923874,1.3908929228782654,1.4292612969875336,1.4635946273803713
2070,1.2918948352336883,1.5790989756584168,1.3520294785499574,1.3902392983436584,1.4355674386024475,1.478951871395111,1.5186237692832947
2075,1.3154114437103273,1.6406574964523317,1.3855524063110352,1.4271610081195831,1.4776437878608704,1.5265727043151855,1.5691283464431762
2080,1.3371532678604126,1.6965052831172944,1.4150735974311828,1.4609802067279816,1.5159984827041626,1.569926917552948,1.6176687598228454
2085,1.355689399242401,1.7498158729076385,1.4419373869895935,1.4920968413352966,1.5522928833961487,1.6101675033569336,1.6623370170593261
2090,1.3726947927474975,1.7977696883678438,1.465660285949707,1.5207043588161469,1.5847979187965393,1.6483030319213867,1.7045472383499145
2095,1.3875313222408294,1.844187024831772,1.4870365142822266,1.546180099248886,1.6153595447540283,1.6828812658786774,1.7431535363197326
2100,1.4021968364715576,1.884834246635437,1.5066496849060058,1.5703145861625671,1.6431986093521118,1.7152067720890045,1.7800333738327028
2105,1.4138510191440583,1.926770635843277,1.5235814332962037,1.5915704667568207,1.6691123843193054,1.745241940021515,1.8129985213279725
2110,1.4233134496212005,1.9642101466655733,1.5394102454185485,1.6112174093723297,1.6920883059501648,1.7727347314357758,1.8441088557243348
2115,1.4304414319992065,1.9996528494358063,1.5534320592880249,1.6289016008377075,1.7135471105575562,1.7981631457805634,1.873040521144867
2120,1.4369238209724426,2.0316815829277037,1.5655381679534912,1.644889622926712,1.7319910526275635,1.8217878639698029,1.8998717665672302
2125,1.4423824536800385,2.0614567065238956,1.576072919368744,1.6590275168418884,1.7502427101135254,1.8438332080841064,1.9239449381828309
2130,1.4467923295497895,2.0895373058319096,1.584672200679779,1.6715593934059143,1.766083002090454,1.8629759848117828,1.9469950795173645
2135,1.4525832033157349,2.116280081272125,1.592772400379181,1.683428943157196,1.7816312909126282,1.8813749849796295,1.968037974834442
2140,1.4568365037441253,2.14130295753479,1.5995687127113343,1.6936960816383362,1.7948628067970276,1.8984020054340363,1.9878311634063721
2145,1.459450877904892,2.1621842098236086,1.6055078744888305,1.7034721076488495,1.8063624501228333,1.913881003856659,2.0063021421432494
2150,1.4598419392108917,2.1824331641197205,1.6116829872131349,1.7110450565814972,1.817379117012024,1.9290496110916138,2.0246510028839113
2155,1.4631432247161866,2.204720275402069,1.6163249373435975,1.7168168425559998,1.827092468738556,1.9421075880527496,2.041149377822876
