year,Emissions,Emissions_1,Emissions_99,Emissions_10,Emissions_25,Emissions_50,Emissions_75,Emissions_90,RCP2.6 (GtC),RCP4.5(GtC),RCP6.0(GtC),RCP8.5(GtC)
2015,36.286716,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,36.286712646484375,37.19420952,36.67470066,34.33729572,42.898028939999996
2020,39.206837,35.59372253417969,42.850433349609375,35.59372253417969,35.59372253417969,39.22207946777344,42.850433349609375,42.850433349609375,35.91785496,38.14018416,34.36112472,47.166829320000005
2025,41.189045,33.73408508300781,48.620419311523435,33.734231567382814,37.54573974609375,41.17652282714844,44.807254028320315,48.619808959960935,31.67500986,39.89491506,34.50978102,51.03464262
2030,42.227703,30.919253540039062,53.44765625,34.64110412597656,38.36312561035156,42.180108642578126,45.997100830078125,49.720733642578125,26.98696572,41.216911319999994,35.62721448,55.465113599999995
2035,42.368813,27.390478515625,57.280157470703124,34.75583190917969,38.494241333007814,42.326219177246095,46.16387023925781,49.908206176757815,21.63112302,41.88980562,38.19781368,60.73957109999999
2040,41.8557,26.978131072998046,56.55196533203125,34.20267852783203,37.90177230834961,41.75503845214844,45.63163528442383,49.332472534179686,17.21729568,42.105256440000005,41.015794559999996,66.3597324
2045,40.74262,26.072049102783204,55.155180664062506,33.070419006347656,36.801184844970706,40.61872100830078,44.45933151245117,51.100152282714845,14.21649138,41.63454204,44.204847959999995,72.4984494
2050,39.135086,21.69578207397461,56.409931884765626,28.720980834960937,35.191802215576175,39.027960205078124,43.07353057861328,49.36019348144531,11.42442912,40.10963268,47.5744152,78.61333739999999
2055,37.22869,20.197608459472654,54.196195129394525,27.085224304199222,31.005390930175782,37.150184631347656,43.417396545410156,47.20353973388672,8.945479919999999,37.00343088,51.2147532,84.6924819
2060,35.16903,16.303202117919923,54.201182678222665,25.205729217529296,29.179813385009766,35.0778305053711,41.04036865234375,44.991596679687504,6.4459278,33.40693824,54.79988124,90.00953832
2065,33.032825,14.591607543945312,51.51208892822266,23.14957305908203,27.14940643310547,32.898406982421875,38.72337341308594,42.95391174316406,3.9154712999999997,29.07500934,58.30219434,94.18346262
2070,30.788197,12.75940697479248,49.098709777832035,20.847230377197267,25.227369689941405,30.64873504638672,36.33311767578125,40.96589447021485,2.0035423199999998,24.252716279999998,61.1719758,97.67096508
2075,28.530218,10.70214094543457,46.71283990478516,18.382953338623047,23.016262817382813,28.4558349609375,34.03661041259765,38.82591400146485,1.01940462,18.69487698,63.0929598,100.12883478
2080,26.368368,8.505693115234376,44.60057766723633,16.156403656005857,20.91043586730957,26.283287048339844,31.756976318359374,36.67726257324219,0.14663999999999963,15.381949439999998,62.068606079999995,102.20155451999999
2085,24.270924,6.720278999328613,42.54651742553712,14.05720397949219,18.939746475219728,24.206632232666017,29.59783477783203,34.34146179199219,-0.5590649999999999,15.436389539999999,56.62624578,103.69654932
2090,22.37734,4.838729621887207,40.31528729248047,12.328710708618164,17.017972564697267,22.307467651367187,27.707608795166017,32.38620452880859,-1.0935678,15.490829639999998,52.90558572,104.80346136
2095,20.53295,3.15696549987793,38.307832183837895,10.593930587768556,15.1753662109375,20.510269927978516,25.72963638305664,30.54398071289063,-1.3712673,15.545269739999998,51.76747602,105.32824926
2100,18.798399,1.0448330173492433,36.50301974487305,8.838129043579102,13.666267395019531,18.762158966064455,23.97367057800293,28.497000122070318,-1.687841064,14.74215912,49.52787996,105.62053943999999
2105,17.205933,1.0290461784734362e-07,34.84780572509767,7.485831756591797,12.015757179260254,17.175373077392578,22.422122192382812,26.961312561035157,-2.062726224,12.65272242,45.63605436,105.56408304
2110,15.6800785,1.0270275311086152e-07,33.15648248291016,5.952400093078613,10.516861534118652,15.70230941772461,20.817724990844727,25.167017211914068,-2.4376113839999998,10.80098916,41.74422876,105.50762664
2115,14.328705,1.0251965659335838e-07,31.421322265625,4.539322166442871,9.171352767944336,14.277020263671876,19.380221939086915,23.775532684326173,-2.812496544,9.30581106,37.85240316,105.45117024
2120,13.089414,1.0230997963844857e-07,29.643461151123052,3.247179756164551,7.972844123840332,12.989688873291016,18.182863998413087,22.480025634765628,-3.187381704,8.16696816,33.96057756,105.39471384
2125,11.898757,1.0210063771864953e-07,27.962340515136724,1.6776570892333988,6.75086727142334,11.811639022827148,16.81417350769043,21.387256927490235,-3.4123127999999996,7.56262806,30.121944153599998,105.36084
2130,10.906218,1.0189377258029708e-07,27.212080078125002,0.17606175184249945,5.651358318328858,10.841839218139649,15.89472312927246,20.244622955322267,-3.4123127999999996,7.01327796,26.363098671,105.36084
2135,9.964976,1.0168712969971238e-07,25.992565917968754,1.0254269682263839e-07,4.57283582687378,9.813903427124023,14.771300888061523,19.116684722900395,-3.4123127999999996,6.546412859999999,22.604253188399998,105.36084
