,ee_1,ee_2,ee_3,ee_4,ee_5,ee_6,ee_7,ee_8,ee_9,ee_10,ee_11,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,bc_7,bc_8,bc_9,bc_10,bc_11,bc_12,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11
count,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
mean,0.0003658208588603884,0.0003219549835193902,0.0001968449796549976,0.00027154874987900257,0.00033824608544819057,0.00026041557430289686,0.00027492755907587707,0.0002091927162837237,0.0004508921119850129,0.00032427458791062236,0.0004236820386722684,9.061575934055099e-10,9.683153168182912e-10,9.681065948896617e-10,6.4229144667248515e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.755061318498008e-09,0.0,0.0003236401826143265,0.0002826622221618891,0.00027949982904829085,0.0002692294947337359,0.0002447843144182116,0.00023696660355199128,0.00022438351879827678,0.00020167835464235395,0.00022385855845641345,0.000304589222650975,0.00040626828558743
std,0.00022417200671043247,0.00022569480643142015,0.00017918963567353785,0.00021363313135225326,0.00023217222769744694,0.00019413976406212896,0.00017397671763319522,0.0001492272858740762,0.0002590603835415095,0.00027096434496343136,0.0003247195854783058,5.640480305046935e-10,6.748382963550625e-10,9.305974879580958e-10,3.458845189430182e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.8595258666209702e-09,0.0,0.0003328042512293905,0.0002995514660142362,0.0003039223374798894,0.0002754786692094058,0.0002475684741511941,0.00023562712885905057,0.0002246592048322782,0.00021119546727277339,0.0002136959374183789,0.0002408451255178079,0.00032659637508913875
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0002046823501586914,0.00017118453979492188,7.849931716918945e-05,0.0001157522201538086,0.00015175342559814453,0.00011861324310302734,0.00014460086822509766,9.57101583480835e-05,0.0002561807632446289,0.0001138448715209961,0.00015968084335327148,4.656612873077393e-10,9.313225746154785e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010448694229125977,9.310245513916016e-05,8.040666580200195e-05,9.763240814208984e-05,8.559226989746094e-05,7.718801498413086e-05,8.45193862915039e-05,6.669759750366211e-05,7.319450378417969e-05,0.00013148784637451172,0.00016224384307861328
50%,0.0003694891929626465,0.0002799034118652344,0.00016558170318603516,0.0002168416976928711,0.00031310319900512695,0.00022017955780029297,0.0002592802047729492,0.00019240379333496094,0.0004317760467529297,0.0002512931823730469,0.000364840030670166,9.313225746154785e-10,9.313225746154785e-10,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022101402282714844,0.0002067089080810547,0.00019365549087524414,0.0001952648162841797,0.00017452239990234375,0.00017917156219482422,0.00016254186630249023,0.00014257431030273438,0.00016367435455322266,0.00026488304138183594,0.00034558773040771484
75%,0.0005013942718505859,0.00043594837188720703,0.00027298927307128906,0.00038051605224609375,0.0005002617835998535,0.0003612637519836426,0.0003789663314819336,0.0002944469451904297,0.0006122589111328125,0.00047004222869873047,0.0006278157234191895,1.3969838619232178e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0004202127456665039,0.0003718137741088867,0.0003739595413208008,0.00035458803176879883,0.00032889842987060547,0.00031578540802001953,0.00029015541076660156,0.00025153160095214844,0.0003203153610229492,0.0004105567932128906,0.0005860328674316406
99%,0.0008023977279663086,0.0010082721710205078,0.0007679474353790294,0.0009318602085113536,0.0009580856561660772,0.000812530517578125,0.0007314693927764904,0.0006527900695800781,0.001123666763305664,0.0011248612403869651,0.001381101012229921,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0014963155984878546,0.0013644111156463634,0.001347362995147705,0.001254082322120667,0.0011652725934982316,0.0010875469446182257,0.001026153564453125,0.0009535562992095958,0.000960648655891419,0.001088202595710755,0.0014495885372161899
99.9%,0.0021139980554580745,0.0015921003818512303,0.0017464201450349826,0.0014147765636444432,0.0017791396379471108,0.0011930474042892852,0.0010759837627411228,0.0011342772841453977,0.001502991318702726,0.001705408930778543,0.0018478055596352558,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0027439036369325542,0.0025204422473907584,0.0023849072456362808,0.002255918145179822,0.002019823491573376,0.00207781958580025,0.0019905596971513256,0.0018348702192306915,0.0017818241119386125,0.0018776071071625322,0.0027806814908983984
max,0.006781101226806641,0.005709648132324219,0.0053519606590271,0.003417491912841797,0.003972828388214111,0.0035698413848876953,0.003306269645690918,0.004346132278442383,0.003136157989501953,0.003761768341064453,0.005392551422119141,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.008260130882263184,0.008780479431152344,0.008745074272155762,0.008501052856445312,0.0067359209060668945,0.006145000457763672,0.005334138870239258,0.004943370819091797,0.004346489906311035,0.004893898963928223,0.006578803062438965
