year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546
2020,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122,0.9004908800125122
2025,0.9490365982055664,0.95893394947052,0.9490365982055664,0.9490365982055664,0.9539852738380432,0.95893394947052,0.95893394947052
2030,0.9950460195541382,1.0252466201782227,0.9950461983680725,1.004948616027832,1.0101453065872192,1.015342354774475,1.0252457857131958
2035,1.0372164249420166,1.0981427431106567,1.047122597694397,1.0571502447128296,1.0676734447479248,1.078197717666626,1.0882296562194824
2040,1.0745748281478882,1.1762628555297852,1.0946455001831055,1.109549641609192,1.1254032850265503,1.1412672996520996,1.156178891658783
2045,1.1163011765480042,1.248474360704422,1.1414384365081787,1.1612243950366974,1.1823515892028809,1.2035856246948242,1.2233290195465087
2050,1.1520641446113586,1.3235249936580658,1.186432921886444,1.2112411260604858,1.2378966212272644,1.266979604959488,1.2891590118408203
2055,1.1864139282703399,1.4001436030864716,1.2295162439346314,1.257301926612854,1.2918155193328857,1.3254717588424683,1.354577124118805
2060,1.2147481262683868,1.469143956899643,1.2675782322883606,1.3026302754878998,1.3430399894714355,1.3819559812545776,1.4165592789649963
2065,1.2412658202648164,1.5385185706615447,1.3045734643936158,1.3442747592926025,1.3912341594696045,1.4360027313232422,1.4760542035102846
2070,1.2682809937000274,1.6033838307857513,1.3384372472763062,1.383037805557251,1.4358970522880554,1.4865605533123016,1.5328922152519227
2075,1.2887699401378632,1.6682846403121951,1.3706032276153564,1.4191413819789886,1.4780548214912415,1.5351351499557495,1.584807813167572
2080,1.3076740002632141,1.7270721471309662,1.3985854506492614,1.452185332775116,1.5163450241088867,1.579283595085144,1.6350274443626405
2085,1.3233327651023865,1.783358371257782,1.4239704012870789,1.4825005531311035,1.5527362823486328,1.620286911725998,1.6811542510986328
2090,1.3376825153827667,1.833841292858124,1.4461444020271301,1.5103841423988342,1.585175335407257,1.6593080461025238,1.7249242544174195
2095,1.3499350619316102,1.8829496145248414,1.4660281896591187,1.5350315868854523,1.6157809495925903,1.6945807337760925,1.7649362444877625
2100,1.3632008135318756,1.925759928226471,1.48433518409729,1.5585702061653137,1.6436392068862915,1.7276909947395325,1.8033512115478516
2105,1.3726125514507295,1.9704788279533387,1.4998055577278138,1.5791182816028595,1.6696582436561584,1.7585000395774841,1.8376315712928772
2110,1.3812545359134674,2.0105993795394896,1.5143677949905396,1.5981409847736359,1.692525327205658,1.7866669595241547,1.8700665354728698
2115,1.384615077972412,2.048263819217682,1.527418577671051,1.6153274476528168,1.714010238647461,1.8128016591072083,1.900202238559723
2120,1.3891807615756988,2.0821998047828676,1.5382378458976746,1.6306253969669342,1.7322875261306763,1.8372479677200317,1.9283635377883912
2125,1.3933999752998352,2.114463794231415,1.5475513219833374,1.6443207263946533,1.750644862651825,1.8599808514118195,1.9534370303153992
2130,1.3973176026344298,2.144127323627472,1.5551193952560425,1.656221479177475,1.766423225402832,1.879564106464386,1.977837336063385
2135,1.399568749666214,2.1728830409049986,1.5620030164718628,1.6675164997577667,1.782217800617218,1.8986287415027618,1.9997335433959962
2140,1.40085596203804,2.2001363945007326,1.5676427483558655,1.6772605776786804,1.795386254787445,1.916177749633789,2.0205986499786377
2145,1.4023940896987914,2.2224847292900085,1.572632360458374,1.686657428741455,1.8066204190254211,1.9323198795318604,2.0404314756393434
2150,1.4023940896987914,2.243698937892914,1.5780971765518188,1.693938136100769,1.8177660703659058,1.9481133818626404,2.059672999382019
2155,1.4024420440196992,2.2683416962623597,1.5832690238952636,1.6993929743766785,1.8276394605636597,1.9616483449935913,2.0770757675170897
