,ee_1,ee_2,ee_3,ee_4,ee_5,ee_6,ee_7,ee_8,ee_9,ee_10,ee_11,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,bc_7,bc_8,bc_9,bc_10,bc_11,bc_12,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11
count,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0
mean,0.000484142656205222,0.0005249640089459717,0.0004989866865798831,0.0008464125567115843,0.000357015582267195,0.0006758354138582945,0.0004535520274657756,0.0004944357788190246,0.00048376881750300527,0.0004826739605050534,0.0006671015289612114,9.360249242362784e-10,9.044041626715682e-10,9.521713417726119e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1432787225609808e-12,1.1305292257901556e-09,0.0,0.0007678724359720945,0.0007438689353875816,0.0006035392871126533,0.0006535985157825053,0.0006037887069396675,0.0006379792466759682,0.0006444797618314624,0.0006333132623694837,0.0006200350471772254,0.0005857801879756153,0.0008065085858106613
std,0.0003885600599460304,0.00042563144234009087,0.00041052541928365827,0.0007376062567345798,0.0002884106361307204,0.0005507180467247963,0.0003777987149078399,0.0003929481899831444,0.0004091123992111534,0.0004047969705425203,0.0006158211035653949,5.871541031154948e-10,9.309351067798843e-10,9.310907600479368e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.52514570154139e-11,1.7039993860379354e-09,0.0,0.0006245294352993369,0.0006189450505189598,0.0005424374248832464,0.0006021148292347789,0.0005140008288435638,0.0005118058761581779,0.0004853743012063205,0.00044485542457550764,0.0005115437088534236,0.0005144833121448755,0.000655229261610657
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.00017380714416503906,0.00021600723266601562,0.0001977682113647461,0.00030803680419921875,0.0001462101936340332,0.00024694204330444336,0.00017774105072021484,0.0002009868621826172,0.0001811981201171875,0.00016510486602783203,0.00019466876983642578,4.656612873077393e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002956390380859375,0.00028502941131591797,0.00020080804824829102,0.00021189451217651367,0.00022113323211669922,0.0002429485321044922,0.000255584716796875,0.0002818554639816284,0.00022149085998535156,0.0001989603042602539,0.00031375885009765625
50%,0.000396728515625,0.0004153251647949219,0.0003917217254638672,0.0006355047225952148,0.0003116130828857422,0.000532984733581543,0.0003457069396972656,0.0004088282585144043,0.0004006028175354004,0.00037848949432373047,0.0004703998565673828,9.313225746154785e-10,0.0,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000613093376159668,0.0005867481231689453,0.0004350244998931885,0.0004665851593017578,0.0004640817642211914,0.0005146265029907227,0.0005451440811157227,0.0005688667297363281,0.00048828125,0.00043380260467529297,0.0006498098373413086
75%,0.0007162690162658691,0.0007245093584060669,0.0007091164588928223,0.0011878013610839844,0.00047957897186279297,0.0010002851486206055,0.0006361007690429688,0.0007159709930419922,0.0006531476974487305,0.0006908774375915527,0.000913083553314209,1.3969838619232178e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.001090720295906067,0.0010457038879394531,0.0008585453033447266,0.000888824462890625,0.0008422732353210449,0.0009123235940933228,0.0009735822677612305,0.000895380973815918,0.0008680224418640137,0.000812530517578125,0.0011346936225891113
99%,0.0016243463754653936,0.0019091397523880033,0.0018563896417617826,0.0034704208374023438,0.0013209593296051036,0.0023673784732818615,0.0016230344772338867,0.0017546427249908458,0.0018856525421142578,0.0016518235206604004,0.002460301518440247,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0026359570026397716,0.0026978254318237305,0.0023830533027648926,0.0025779008865356445,0.0020744800567626953,0.0022169423103332586,0.0020537495613098256,0.0019052046537399309,0.002077937126159668,0.0019934773445129395,0.003081798553466797
99.9%,0.0028059484958648795,0.002627194166183483,0.002341628074645996,0.0037883520126342773,0.002201678037643512,0.0028351545333862305,0.0018811225891113281,0.0027070049047470263,0.0026589632034301758,0.002201915621757547,0.00268548738956452,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.004140615642070779,0.003898505389690589,0.0031319263577461384,0.0033190250396728516,0.003305316686630283,0.0031966573596000983,0.002630591511726385,0.0026243925094604492,0.0024565458297729492,0.0022284984588623047,0.0037174224853515625
max,0.005471587181091309,0.003982067108154297,0.0062569379806518555,0.0046193599700927734,0.0048596858978271484,0.0034794211387634277,0.004105865955352783,0.004258632659912109,0.0062577128410339355,0.0033795833587646484,0.003053724765777588,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,3.725290298461914e-09,0.0,0.00801926851272583,0.006586134433746338,0.005306124687194824,0.006231069564819336,0.007010161876678467,0.006509304046630859,0.005585610866546631,0.0045773983001708984,0.0028295516967773438,0.005378544330596924,0.008204221725463867
