year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371
2020,1.5157567262649536,1.5157567262649536,1.5157567262649536,1.5157567262649536,1.5157567262649536,1.5157567262649536,1.5157567262649536
2025,1.583675503730774,1.5934730768203735,1.583675503730774,1.5836759805679321,1.5886310338974,1.5934725999832153,1.5934730768203735
2030,1.6487586498260498,1.6777681112289429,1.648759365081787,1.6584633588790894,1.6635771989822388,1.6685805320739746,1.6777656078338623
2035,1.7096450304985047,1.7666170597076416,1.7193628549575806,1.7289798259735107,1.7390787601470947,1.7489264011383057,1.757991075515747
2040,1.765291452407837,1.858207117319107,1.785010313987732,1.7990511655807495,1.8141059875488281,1.8283395767211914,1.841599464416504
2045,1.8248672461509705,1.9434593939781188,1.849224603176117,1.8676243424415588,1.8874606490135193,1.9063974022865295,1.9231624603271484
2050,1.8779243171215056,2.029454960823059,1.9110546946525573,1.9331916868686676,1.9584972262382507,1.9826813638210297,2.0021848917007445
2055,1.9287271332740783,2.113802468776703,1.9703433036804199,1.9957241714000702,2.026917815208435,2.0552892088890076,2.0790252923965453
2060,1.9728358030319213,2.1936384797096253,2.0240667819976808,2.055117607116699,2.0918198823928833,2.1251506209373474,2.152796220779419
2065,2.01442214012146,2.271058158874512,2.0765969276428224,2.1117092967033386,2.153144955635071,2.1921443939208984,2.222781229019165
2070,2.0527664971351625,2.3440308380126953,2.1241345405578613,2.16468608379364,2.2108289003372192,2.2551655173301697,2.289600110054016
2075,2.0877057194709776,2.412983033657074,2.1672208070755006,2.214183509349823,2.265600562095642,2.3143458366394043,2.352638268470764
2080,2.1166789507865906,2.478306827545166,2.20817654132843,2.2603585720062256,2.316631317138672,2.3698675632476807,2.4122895002365112
2085,2.1433526492118835,2.541718051433563,2.2450085401535036,2.30325847864151,2.364157795906067,2.4224915504455566,2.4690270900726317
2090,2.1660257601737976,2.598908567428589,2.279564952850342,2.341602861881256,2.407744884490967,2.471667766571045,2.522353982925415
2095,2.1870910120010376,2.656049580574036,2.3104555130004885,2.376913011074066,2.4486218690872192,2.5168673396110535,2.5731371641159058
2100,2.2073947548866273,2.7097285056114195,2.3388047218322754,2.410167932510376,2.4863988161087036,2.560093879699707,2.619158220291138
2105,2.222054204940796,2.7589380288124086,2.361732745170593,2.4396862387657166,2.5217257738113403,2.5995628237724304,2.663271427154541
2110,2.2352801084518434,2.806490876674652,2.384321928024292,2.4666197299957275,2.5544954538345337,2.636821925640106,2.7045337200164794
2115,2.2452033090591432,2.852160248756409,2.4041652917861938,2.490474224090576,2.5829837322235107,2.670656979084015,2.7439187288284304
2120,2.2558492040634155,2.8969530057907105,2.4219674348831175,2.512368321418762,2.61145281791687,2.7024723887443542,2.78063108921051
2125,2.2604708814620973,2.9387509655952457,2.4385586977005005,2.5335458517074585,2.6362253427505493,2.732114017009735,2.813932943344116
2130,2.267883925437927,2.9766576719284057,2.452337908744812,2.551776349544525,2.6597187519073486,2.7611734867095947,2.8460300445556643
2135,2.273696200847626,3.0106726837158204,2.4639976263046264,2.5684425830841064,2.6807934045791626,2.7865611910820007,2.875801682472229
2140,2.278773379325867,3.0442858743667602,2.4743232488632203,2.5835627913475037,2.700601577758789,2.8110353350639343,2.902820038795471
2145,2.2804706859588624,3.073774356842041,2.4834787607192994,2.5968732237815857,2.718621850013733,2.832247734069824,2.926791477203369
2150,2.2829076838493347,3.105680990219116,2.4926472902297974,2.608639180660248,2.734297513961792,2.852331817150116,2.951985502243042
2155,2.283459849357605,3.1361157989501955,2.4993369579315186,2.6185839772224426,2.749338150024414,2.8708078265190125,2.974754238128662
