birth_year,welfare_gains,consumption_equivalent_gains
1955,0.016266704,-0.008035481
1960,0.03424442,-0.016694665
1965,0.048092246,-0.023212135
1970,0.05917096,-0.028334081
1975,0.0856756,-0.040268004
1980,0.1052506,-0.04880488
1985,0.11349523,-0.052332878
1990,0.10943675,-0.050601125
1995,0.09382951,-0.043851852
2000,0.06799948,-0.032358527
2005,0.034163237,-0.016656041
2010,-0.004113734,0.0020632744
2015,-0.010504961,0.0052942038
2020,-0.017188907,0.008706808
2025,-0.023399115,0.011909008
2030,-0.029417515,0.0150414705
2035,-0.03541386,0.018191576
2040,-0.04127282,0.02129805
2045,-0.046787262,0.024247885
2050,-0.051985025,0.027051926
2055,-0.05679488,0.029667258
2060,-0.061258495,0.03211236
2065,-0.06534171,0.034364462
2070,-0.06908333,0.036441088
2075,-0.07258916,0.038398147
2080,-0.075692415,0.040139914
2085,-0.07860488,0.0417825
2090,-0.08115089,0.04322481
2095,-0.08319616,0.044387817
2100,-0.084974706,0.04540229
2105,-0.08634144,0.046183944
2110,-0.087500215,0.04684794
2115,-0.08832061,0.047318935
2120,-0.0888983,0.047650814
2125,-0.08932525,0.047896385
2130,-0.08953041,0.04801452
2135,-0.08963114,0.048072457
2140,-0.089654505,0.048085928
2145,-0.08960152,0.04805541
2150,-0.0895319,0.048015356
